designation,name,symbol,width,base,hq,formation,group
609א,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,א
610א,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,א
611א,M47 DRAGON,anti-tank,20,20x20,,Merkava 3 Tank Company,א
612א,52MM,mortar,20,20x20,,Merkava 3 Tank Company,א
613א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
614א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
615א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
616א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
613א,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
614א,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
615א,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
616א,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
613א,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,א
614א,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,א
615א,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,א
616א,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,א
625א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
626א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
627א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
628א,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,א
629א,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,א
630א,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,א
631א,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,א
632א,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,א
633א,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,א
634א,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,א
635א,M47 DRAGON,anti-tank,20,20x20,,Merkava 3 Tank Company,א
636א,52MM,mortar,20,20x20,,Merkava 3 Tank Company,א
637א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
638א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
639א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
640א,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,א
001ב,MERKAVA 3,armor,20,20x40,true,Merkava 3 Tank Company,ב
002ב,MERKAVA 3,armor,20,20x40,true,Merkava 3 Tank Company,ב
101ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
102ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
103ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
201ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
202ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
203ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
301ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
302ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
303ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
304ב,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,ב
305ב,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,ב
306ב,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,ב
307ב,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,ב
308ב,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,ב
309ב,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,ב
401ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
402ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
403ב,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ב
501ב,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
502ב,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
503ב,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
504ב,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
505ב,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
506ב,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
507ב,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
508ב,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
509ב,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
510ב,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,ב
511ב,UH-1,utility helicopter,20,20x40,,Merkava 3 Tank Company,ב
512ב,UH-1,utility helicopter,20,20x40,,Merkava 3 Tank Company,ב
601ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
602ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
603ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
604ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
605ב,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ב
606ב,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ב
607ב,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ב
608ב,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
609ב,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
610ב,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
611ב,M47 DRAGON,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
612ב,52MM,mortar,20,20x20,,Merkava 3 Tank Company,ב
613ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
614ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
615ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
616ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
613ב,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
614ב,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
615ב,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
616ב,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
613ב,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ב
614ב,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ב
615ב,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ב
616ב,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ב
625ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
626ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
627ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
628ב,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ב
629ב,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ב
630ב,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ב
631ב,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ב
632ב,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
633ב,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
634ב,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
635ב,M47 DRAGON,anti-tank,20,20x20,,Merkava 3 Tank Company,ב
636ב,52MM,mortar,20,20x20,,Merkava 3 Tank Company,ב
637ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
638ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
639ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
640ב,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ב
001ג,MERKAVA 3,armor,20,20x40,true,Merkava 3 Tank Company,ג
002ג,MERKAVA 3,armor,20,20x40,true,Merkava 3 Tank Company,ג
101ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
102ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
103ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
201ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
202ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
203ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
301ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
302ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
303ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
304ג,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,ג
305ג,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,ג
306ג,MERKAVA 2,armor,20,20x40,,Merkava 3 Tank Company,ג
307ג,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,ג
308ג,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,ג
309ג,MERKAVA 1,armor,20,20x40,,Merkava 3 Tank Company,ג
401ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
402ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
403ג,MERKAVA 3,armor,20,20x40,,Merkava 3 Tank Company,ג
501ג,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
502ג,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
503ג,JEEP,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
504ג,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
505ג,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
506ג,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
507ג,M113 ZELDA,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
508ג,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
509ג,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
510ג,RABBI,reconnaissance,20,20x30,,Merkava 3 Tank Company,ג
511ג,UH-1,utility helicopter,20,20x40,,Merkava 3 Tank Company,ג
512ג,UH-1,utility helicopter,20,20x40,,Merkava 3 Tank Company,ג
601ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
602ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
603ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
604ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
605ג,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ג
606ג,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ג
607ג,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ג
608ג,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
609ג,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
610ג,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
611ג,M47 DRAGON,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
612ג,52MM,mortar,20,20x20,,Merkava 3 Tank Company,ג
613ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
614ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
615ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
616ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
613ג,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
614ג,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
615ג,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
616ג,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
613ג,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ג
614ג,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ג
615ג,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ג
616ג,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 3 Tank Company,ג
625ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
626ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
627ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
628ג,GALIL,infantry,40,40x20,,Merkava 3 Tank Company,ג
629ג,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ג
630ג,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ג
631ג,FN MAG,machine gun,40,40x20,,Merkava 3 Tank Company,ג
632ג,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
633ג,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
634ג,RPG-7,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
635ג,M47 DRAGON,anti-tank,20,20x20,,Merkava 3 Tank Company,ג
636ג,52MM,mortar,20,20x20,,Merkava 3 Tank Company,ג
637ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
638ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
639ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
640ג,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 3 Tank Company,ג
001ד,MERKAVA 2,armor,20,20x40,true,Merkava 2 Tank Company,ד
002ד,MERKAVA 2,armor,20,20x40,true,Merkava 2 Tank Company,ד
101ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
102ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
103ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
201ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
202ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
203ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
301ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
302ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
303ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
304ד,MERKAVA 1,armor,20,20x40,,Merkava 2 Tank Company,ד
305ד,MERKAVA 1,armor,20,20x40,,Merkava 2 Tank Company,ד
306ד,MERKAVA 1,armor,20,20x40,,Merkava 2 Tank Company,ד
307ד,MERKAVA 3,armor,20,20x40,,Merkava 2 Tank Company,ד
308ד,MERKAVA 3,armor,20,20x40,,Merkava 2 Tank Company,ד
309ד,MERKAVA 3,armor,20,20x40,,Merkava 2 Tank Company,ד
401ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
402ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
403ד,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ד
501ד,JEEP,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
502ד,JEEP,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
503ד,JEEP,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
504ד,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
505ד,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
506ד,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
507ד,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
508ד,RABBI,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
509ד,RABBI,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
510ד,RABBI,reconnaissance,20,20x30,,Merkava 2 Tank Company,ד
511ד,UH-1,utility helicopter,20,20x40,,Merkava 2 Tank Company,ד
512ד,UH-1,utility helicopter,20,20x40,,Merkava 2 Tank Company,ד
601ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
602ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
603ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
604ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
605ד,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ד
606ד,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ד
607ד,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ד
608ד,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
609ד,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
610ד,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
611ד,M47 DRAGON,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
612ד,52MM,mortar,20,20x20,,Merkava 2 Tank Company,ד
613ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
614ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
615ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
616ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
613ד,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
614ד,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
615ד,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
616ד,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
613ד,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ד
614ד,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ד
615ד,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ד
616ד,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ד
625ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
626ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
627ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
628ד,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ד
629ד,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ד
630ד,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ד
631ד,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ד
632ד,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
633ד,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
634ד,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
635ד,M47 DRAGON,anti-tank,20,20x20,,Merkava 2 Tank Company,ד
636ד,52MM,mortar,20,20x20,,Merkava 2 Tank Company,ד
637ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
638ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
639ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
640ד,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ד
001ה,MERKAVA 2,armor,20,20x40,true,Merkava 2 Tank Company,ה
002ה,MERKAVA 2,armor,20,20x40,true,Merkava 2 Tank Company,ה
101ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
102ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
103ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
201ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
202ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
203ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
301ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
302ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
303ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
304ה,MERKAVA 1,armor,20,20x40,,Merkava 2 Tank Company,ה
305ה,MERKAVA 1,armor,20,20x40,,Merkava 2 Tank Company,ה
306ה,MERKAVA 1,armor,20,20x40,,Merkava 2 Tank Company,ה
307ה,MERKAVA 3,armor,20,20x40,,Merkava 2 Tank Company,ה
308ה,MERKAVA 3,armor,20,20x40,,Merkava 2 Tank Company,ה
309ה,MERKAVA 3,armor,20,20x40,,Merkava 2 Tank Company,ה
401ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
402ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
403ה,MERKAVA 2,armor,20,20x40,,Merkava 2 Tank Company,ה
501ה,JEEP,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
502ה,JEEP,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
503ה,JEEP,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
504ה,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
505ה,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
506ה,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
507ה,M113 ZELDA,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
508ה,RABBI,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
509ה,RABBI,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
510ה,RABBI,reconnaissance,20,20x30,,Merkava 2 Tank Company,ה
511ה,UH-1,utility helicopter,20,20x40,,Merkava 2 Tank Company,ה
512ה,UH-1,utility helicopter,20,20x40,,Merkava 2 Tank Company,ה
601ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
602ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
603ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
604ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
605ה,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ה
606ה,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ה
607ה,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ה
608ה,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ה
609ה,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ה
610ה,RPG-7,anti-tank,20,20x20,,Merkava 2 Tank Company,ה
611ה,M47 DRAGON,anti-tank,20,20x20,,Merkava 2 Tank Company,ה
612ה,52MM,mortar,20,20x20,,Merkava 2 Tank Company,ה
613ה,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
614ה,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
615ה,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
616ה,M113 ZELDA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
613ה,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
614ה,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
615ה,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
616ה,M113 VAYZATA,armored personnel carrier,20,20x30,,Merkava 2 Tank Company,ה
613ה,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ה
614ה,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ה
615ה,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ה
616ה,NAGMASHOT,armored personnel carrier,20,20x40,,Merkava 2 Tank Company,ה
625ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
626ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
627ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
628ה,GALIL,infantry,40,40x20,,Merkava 2 Tank Company,ה
629ה,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ה
630ה,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ה
631ה,FN MAG,machine gun,40,40x20,,Merkava 2 Tank Company,ה
